Identifier (RIC),Company Name,Exchange Name,Market Cap,IPO Date,Ticker Symbol,Trading Symbol,"Price Close
(USD)"
ASA.N,ASA Gold and Precious Metals Ltd,New York Stock Exchange,"1,181,077,541.44",17/03/1980,ASA,ASA,64.34
ABG.N,Asbury Automotive Group Inc,New York Stock Exchange,"3,767,927,859.13",14/03/2002,ABG,ABG,209.89
ASND.OQ,Ascendis Pharma A/S,Nasdaq Stock Exchange Global Select Market,"16,434,739,321.00",28/01/2015,ASND,ASND,250.25
AHT.N,Ashford Hospitality Trust Inc,New York Stock Exchange,"21,609,178.76",26/08/2003,AHT,AHT,3.34
ASH.N,Ashland Inc.,New York Stock Exchange,"3,403,363,258.40",17/03/1980,ASH,ASH,74.32
ASPN.N,"Aspen Aerogels, Inc.",New York Stock Exchange,"430,711,788.96",13/06/2014,ASPN,ASPN,5.19
ASMB.OQ,Assembly Biosciences Inc,Nasdaq Stock Exchange Global Select Market,"721,172,310.32",17/12/2010,ASMB,ASMB,35.42
ASB.N,Associated Banc-Corp,New York Stock Exchange,"5,826,011,980.15",17/03/1980,ASB,ASB,30.85
AIZ.N,Assurant Inc,New York Stock Exchange,"14,230,400,017.17",04/02/2004,AIZ,AIZ,288.51
AGO.N,Assured Guaranty Ltd,New York Stock Exchange,"3,336,692,065.36",23/04/2004,AGO,AGO,75.91
ASTE.OQ,"Astec Industries, Inc.",Nasdaq Stock Exchange Global Select Market,"1,012,655,640.66",18/06/1986,ASTE,ASTE,43.98
ATRO.OQ,Astronics Corporation,Nasdaq Stock Exchange Global Select Market,"3,326,593,449.04",20/04/1972,ATRO,ATRO,77.51
T.N,AT&T Inc,New York Stock Exchange,"177,271,216,765.50",21/11/1983,T,T,25.43
ATRA.OQ,"Atara Biotherapeutics, Inc.",Nasdaq Stock Exchange Global Select Market,"94,153,719.80",16/10/2014,ATRA,ATRA,9.38
ATI.N,ATI Inc,New York Stock Exchange,"28,985,227,725.38",08/05/1987,ATI,ATI,212.86
AUB.N,Atlantic Union Bankshares Corporation,New York Stock Exchange,"5,812,566,267.20",06/10/1993,AUB,AUB,40.70
ATLC.OQ,Atlanticus Holdings Corp,Nasdaq Stock Exchange Global Select Market,"1,409,599,930.96",23/04/1999,ATLC,ATLC,92.92
TEAM.OQ,Atlassian Corp,Nasdaq Stock Exchange Global Select Market,"42,646,296,163.05",10/12/2015,TEAM,TEAM,168.47
ATO.N,Atmos Energy Corporation,New York Stock Exchange,"28,636,800,191.38",28/12/1983,ATO,ATO,169.46
ATNI.OQ,ATN International Inc,Nasdaq Stock Exchange Global Select Market,"471,804,824.91",14/11/1991,ATNI,ATNI,30.63
AUDC.OQ,AudioCodes Ltd,Nasdaq Stock Exchange Global Select Market,"242,494,051.76",01/05/1999,AUDC,AUDC,10.04
AUGO.OQ,Aura Minerals Inc,Nasdaq Stock Exchange Global Select Market,"7,486,630,079.90",31/07/2007,AUGO,AUGO,89.30
ADSK.OQ,"Autodesk, Inc.",Nasdaq Stock Exchange Global Select Market,"53,756,470,000.00",30/04/1985,ADSK,ADSK,254.77
ATHM.N,Autohome Inc,New York Stock Exchange,"2,467,433,799.25",11/12/2013,ATHM,ATHM,22.17
ALV.N,"Autoliv, Inc.",New York Stock Exchange,"9,014,055,129.75",28/04/1997,ALV,ALV,123.53
ADP.OQ,Automatic Data Processing Inc,Nasdaq Stock Exchange Global Select Market,"111,785,761,564.43",01/09/1961,ADP,ADP,281.39
AN.N,"AutoNation, Inc.",New York Stock Exchange,"6,498,762,635.42",20/06/1997,AN,AN,196.57
AZO.N,"AutoZone, Inc.",New York Stock Exchange,"48,959,739,645.00",02/04/1991,AZO,AZO,"2,999.00"
AVY.N,Avery Dennison Corp,New York Stock Exchange,"13,818,451,930.86",01/01/1961,AVY,AVY,182.33
AVNW.OQ,Aviat Networks Inc,Nasdaq Stock Exchange Global Select Market,"270,564,171.33",19/05/1987,AVNW,AVNW,20.91
AVBH.OQ,Avidbank Holdings Inc,Nasdaq Stock Exchange Global Select Market,"348,725,490.00",29/06/2004,AVBH,AVBH,31.75
AVNT.N,Avient Corp,New York Stock Exchange,"4,107,201,449.00",01/09/2000,AVNT,AVNT,44.78
CAR.OQ,Avis Budget Group Inc,Nasdaq Stock Exchange Global Select Market,"5,086,908,576.00",15/09/1983,CAR,CAR,144.00
AVA.N,Avista Corporation,New York Stock Exchange,"3,195,170,464.50",22/05/1981,AVA,AVA,38.15
